iter	Passed	Remaining
743	1019	350
744	1020	349
745	1021	347
746	1022	346
747	1022	344
748	1024	343
749	1025	341
750	1026	340
751	1027	338
752	1028	337
753	1029	335
754	1030	334
755	1030	332
756	1031	331
757	1032	329
758	1033	328
759	1034	326
760	1035	325
761	1036	323
762	1037	322
763	1038	320
764	1039	319
765	1040	317
766	1041	316
767	1042	314
768	1043	313
769	1044	311
770	1045	310
771	1046	308
772	1046	307
773	1047	305
774	1048	304
775	1049	302
776	1050	301
777	1051	299
778	1051	298
779	1053	297
780	1054	295
781	1055	294
782	1056	292
783	1056	291
784	1057	289
785	1058	288
786	1059	286
787	1060	285
788	1061	283
789	1062	282
790	1063	280
791	1064	279
792	1065	278
793	1065	276
794	1066	275
795	1067	273
796	1068	272
797	1069	270
798	1070	269
799	1071	267
800	1072	266
801	1073	265
802	1074	263
803	1075	262
804	1076	260
805	1076	259
806	1077	257
807	1078	256
808	1079	254
809	1080	253
810	1081	251
811	1082	250
812	1083	249
813	1084	247
814	1085	246
815	1086	244
816	1087	243
817	1087	242
818	1088	240
819	1089	239
820	1090	237
821	1091	236
822	1092	234
823	1093	233
824	1093	232
825	1094	230
826	1095	229
827	1096	227
828	1097	226
829	1099	225
830	1100	223
831	1101	222
832	1102	220
833	1102	219
834	1103	218
835	1104	216
836	1105	215
837	1106	213
838	1107	212
839	1107	211
840	1108	209
841	1109	208
842	1110	206
843	1111	205
844	1112	204
845	1113	202
846	1114	201
847	1115	199
848	1116	198
849	1117	197
850	1118	195
851	1119	194
852	1119	193
853	1120	191
854	1121	190
855	1122	188
856	1123	187
857	1124	186
858	1125	184
859	1126	183
860	1127	181
861	1128	180
862	1129	179
863	1130	177
864	1131	176
865	1132	175
866	1132	173
867	1133	172
868	1134	171
869	1135	169
870	1136	168
871	1136	166
872	1137	165
873	1138	164
874	1139	162
875	1140	161
876	1141	160
877	1142	158
878	1145	157
879	1146	156
880	1147	155
881	1148	153
882	1149	152
883	1150	150
884	1151	149
885	1152	148
886	1153	146
887	1154	145
888	1154	144
889	1155	142
890	1156	141
891	1158	140
892	1159	138
893	1160	137
894	1161	136
895	1162	134
896	1163	133
897	1164	132
898	1164	130
899	1165	129
900	1166	128
901	1167	126
